LAP_ID,BRAND,LAP_TYPE,INCHES,SCREEN_RESOLUTION,LAP_CPU,CPU_SUBCATEGORY,RAM_SIZE_GB,MEMORY_SIZE,MEMORY_TYPE,LAP_GPU,GPU_SUBCATEGORY,OS,WEIGHT_KG,PRICE
31,Asus,Notebook,14.0,1366x768,"AMD "," E-Series E2-6110 1.5GHz",2,"32GB ",STORAGE,"AMD "," Radeon R2","Windows 10",1.65,10603
32,HP,Notebook,17.3,"Full HD 1920x1080","AMD "," A6-Series 9220 2.5GHz",4,"500GB ",HDD,"AMD "," Radeon 530","Windows 10",2.71,23390
33,Dell,Ultrabook,13.3,"Touchscreen / Quad HD+ 3200x1800","Intel "," Core i7 8550U 1.8GHz",16,"512GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.20,99580
34,Apple,Ultrabook,13.3,1440x900,"Intel "," Core i5 1.6GHz",8,"256GB ",STORAGE,"Intel "," HD Graphics 6000","Mac OS X",1.35,53173
35,Lenovo,Notebook,14.0,1366x768,"Intel "," Celeron Dual Core N3350 1.1GHz",4,"64GB ",STORAGE,"Intel "," HD Graphics 500","Windows 10",1.44,13267
36,Acer,Notebook,15.6,1366x768,"Intel "," Core i3 7130U 2.7GHz",4,"1TB ",HDD,"Intel "," HD Graphics 620",Linux,2.10,19554
37,Dell,Notebook,17.3,"IPS Panel Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"128GB ",HDD,"AMD "," Radeon 530","Windows 10",2.80,52161
38,HP,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",4,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",1.86,26037
39,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Nvidia "," GeForce 930MX ","Windows 10",2.10,46833
40,Asus,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"Intel "," HD Graphics 620",Linux,2.00,20726
41,Dell,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1060","Windows 10",2.65,79867
42,Asus,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",8,"1TB ",HDD,"Nvidia "," GeForce 940MX",Linux,2.30,27865
43,Acer,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",4,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",2.20,36337
44,Dell,"2 in 1 Convertible",17.3,"Full HD / Touchscreen 1920x1080","Intel "," Core i5 8250U 1.6GHz",12,"1TB ",HDD,"Nvidia "," GeForce 150MX","Windows 10",2.77,53227
45,Apple,Ultrabook,13.3,"IPS Panel Retina Display 2560x1600","Intel "," Core i5 2.0GHz",8,"256GB ",SSD,"Intel "," Iris Graphics 540",macOS,1.37,75604
47,Asus,Gaming,17.3,"Full HD 1920x1080","AMD "," Ryzen 1700 3GHz",8,"256GB ",HDD,"AMD "," Radeon RX 580","Windows 10",3.20,69211
48,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",4,"256GB ",SSD,"AMD "," Radeon R5 M430","Windows 10",2.30,34046
49,Asus,Notebook,17.3,1366x768,"Intel "," Pentium Quad Core N4200 1.1GHz",4,"1TB ",HDD,"Nvidia "," GeForce 920MX","Windows 10",2.80,24828
51,Acer,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Nvidia "," GeForce MX150","Windows 10",2.20,44808
52,HP,Notebook,15.6,"Full HD 1920x1080","AMD "," A6-Series 9220 2.5GHz",4,"256GB ",SSD,"AMD "," Radeon R4 Graphics","Windows 10",1.86,21232
53,HP,Notebook,13.3,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"512GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.49,58768
54,Acer,Notebook,15.6,1366x768,"Intel "," Core i3 7100U 2.4GHz",4,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",2.40,20460
55,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"AMD "," Radeon 520","Windows 10",2.13,40908
56,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"128GB ",SSD,"Intel "," HD Graphics 520","Windows 10",1.91,23390
57,Asus,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",4,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",2.00,31232
58,MSI,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1070","Windows 10",2.43,130483
59,Asus,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"256GB ",SSD,"Intel "," HD Graphics 520",Linux,2.00,22111
60,Dell,Notebook,17.3,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",16,"256GB ",HDD,"AMD "," Radeon 530","Windows 10",2.80,69211
61,Dell,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.70,46833
62,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i3 7130U 2.7GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","No OS",1.70,31915
63,Asus,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.40,50136
64,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.86,36763
65,Asus,Ultrabook,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"512GB ",SSD,"Nvidia "," GeForce GTX 1050 Ti","Windows 10",1.80,105654
66,HP,Notebook,15.6,1366x768,"Intel "," Core i3 6006U 2GHz",4,"500GB ",HDD,"AMD "," Radeon 520","Windows 10",1.86,23373
67,HP,Notebook,14.0,1366x768,"Intel "," Celeron Dual Core N3060 1.6GHz",4,"32GB ",SSD,"Intel "," HD Graphics 400","Windows 10",1.44,12201
68,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",4,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",1.90,29251
69,Asus,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",12,"1TB ",HDD,"Nvidia "," GeForce GTX 1050 Ti",Linux,3.00,50563
70,Microsoft,Ultrabook,13.5,"Touchscreen 2256x1504","Intel "," Core i5 7200U 2.5GHz",4,"128GB ",SSD,"Intel "," HD Graphics 620","Windows 10 S",1.25,58022
71,Dell,Ultrabook,13.3,"IPS Panel Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",64,"256GB ",SSD,"AMD "," Radeon 530","Windows 10",1.40,50882
72,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"AMD "," Radeon 530","Windows 10",2.20,46354
73,MSI,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i5 7300HQ 2.5GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",2.70,58342
74,Acer,Notebook,14.0,1366x768,"Intel "," Core i3 6006U 2GHz",8,"1TB ",HDD,"Intel "," HD Graphics 520","Windows 10",2.10,20726
75,Asus,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"1TB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",2.20,50563
76,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"2TB ",HDD,"Intel "," HD Graphics 620","No OS",2.20,27652
77,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"128GB ",HDD,"Intel "," UHD Graphics 620","Windows 10",2.02,45554
78,Acer,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 7130U 2.7GHz",4,"1TB ",HDD,"Nvidia "," GeForce MX130","Windows 10",2.20,28238
79,HP,Notebook,17.3,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"128GB ",HDD,"Nvidia "," GeForce 930MX","Windows 10",2.50,52055
80,Dell,Ultrabook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.88,58403
81,Apple,Ultrabook,12.0,"IPS Panel Retina Display 2304x1440","Intel "," Core i5 1.3GHz",8,"512GB ",SSD,"Intel "," HD Graphics 615",macOS,0.92,80453
82,HP,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.63,45821
83,Lenovo,Notebook,15.6,"Full HD 1920x1080","AMD "," A6-Series 9220 2.5GHz",4,"128GB ",SSD,"AMD "," R4 Graphics","Windows 10",2.20,21259
84,Acer,Notebook,15.6,1366x768,"AMD "," A9-Series 9420 3GHz",4,"1TB ",HDD,"AMD "," Radeon R5","Windows 10",2.10,21046
85,Dell,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"128GB ",HDD,"Nvidia "," GeForce GTX 1050 Ti","Windows 10",2.65,71875
86,HP,Ultrabook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Nvidia "," GeForce GTX 940MX","Windows 10",1.83,37243
87,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.96,31914
88,Asus,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"128GB ",HDD,"Nvidia "," GeForce GTX 1060","Windows 10",2.20,77203
89,Dell,Ultrabook,13.3,"IPS Panel Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.21,87859
90,Asus,Gaming,15.6,"Full HD 1920x1080","AMD "," FX 9830P 3GHz",8,"1TB ",HDD,"AMD "," Radeon RX 560","Windows 10",2.45,37243
91,Acer,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",2,"1TB ",HDD,"Nvidia "," GeForce MX150","Windows 10",2.20,36710
92,HP,Notebook,13.3,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",16,"512GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.49,63776
93,Dell,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i5 7300HQ 2.5GHz",8,"256GB ",SSD,"Nvidia "," GeForce GTX 1060","Windows 10",2.65,63670
94,Asus,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.25,55891
95,Acer,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.50,45128
96,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"1TB ",HDD,"AMD "," Radeon R5 M430",Linux,2.20,31963
97,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"256GB ",SSD,"AMD "," Radeon R5 M430",Linux,2.20,25841
98,Asus,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 7100U 2.4GHz",6,"256GB ",SSD,"Nvidia "," GeForce 920M","Windows 10",2.00,30743
99,HP,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",12,"128GB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",2.62,66547
100,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"AMD "," Radeon 530","Windows 10",1.91,38308
101,HP,Notebook,15.6,"Full HD 1920x1080","AMD "," E-Series E2-9000e 1.5GHz",4,"500GB ",HDD,"AMD "," Radeon R2","Windows 10",2.10,18595
102,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"1TB ",HDD,"AMD "," Radeon 520",Linux,2.20,34472
103,HP,Ultrabook,13.3,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Nvidia "," GeForce MX150","Windows 10",1.38,59620
104,Microsoft,Ultrabook,13.5,"Touchscreen 2256x1504","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10 S",1.25,71395
105,HP,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",6,"256GB ",SSD,"Nvidia "," GeForce 940MX","Windows 10",1.58,35112
106,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"Intel "," HD Graphics 520","Windows 10",1.85,22106
107,Asus,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Nvidia "," GeForce 940MX","Windows 10",1.30,63563
108,MSI,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1050 Ti","Windows 10",2.20,69211
109,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7500U 2.7GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.58,78854
110,Asus,Ultrabook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce MX150","Windows 10",1.50,67239
111,Dell,Ultrabook,13.3,"Quad HD+ / Touchscreen 3200x1800","Intel "," Core i7 7560U 2.4GHz",8,"256GB ",SSD,"Intel "," Iris Plus Graphics 640","Windows 10",1.23,73473
112,Lenovo,"2 in 1 Convertible",13.3,"IPS Panel Full HD / Touchscreen 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.37,74539
113,HP,Notebook,14.0,"IPS Panel 1366x768","Intel "," Core i5 8250U 1.6GHz",4,"500GB ",HDD,"Intel "," UHD Graphics 620","Windows 10",1.63,38468
114,Dell,Ultrabook,13.3,"IPS Panel Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.21,86793
116,HP,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"512GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.63,57756
117,Dell,Notebook,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",HDD,"Nvidia "," GeForce 940MX","Windows 10",2.16,60224
118,Asus,Notebook,17.3,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"Nvidia "," GeForce 920MX","Windows 10",2.00,30050
119,Asus,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Nvidia "," GeForce 940MX","Windows 10",1.70,59567
120,Acer,Notebook,15.6,"IPS Panel Full HD / Touchscreen 1920x1080","Intel "," Core i3 7100U 2.4GHz",6,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",2.10,25521
121,MSI,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1070","Windows 10",1.80,119427
122,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",8,"256GB ",SSD,"Nvidia "," GeForce 940MX","No OS",2.20,33513
123,HP,Notebook,17.3,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",16,"512GB ",SSD,"Nvidia "," GeForce 930MX ","Windows 10",2.50,67719
124,Acer,Notebook,15.6,1366x768,"AMD "," A9-Series 9420 3GHz",4,"256GB ",SSD,"AMD "," Radeon R5","Windows 10",2.10,24029
126,HP,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"1TB ",HDD,"Intel "," UHD Graphics 620","Windows 10",1.63,43263
127,Asus,Notebook,14.0,1366x768,"AMD "," E-Series 6110 1.5GHz",4,"64GB ",SSD,"AMD "," Radeon R2","Windows 10 S",1.65,14811
128,Dell,Notebook,17.3,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",16,"256GB ",HDD,"AMD "," Radeon 530","Windows 10",2.80,74379
129,HP,Notebook,17.3,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",2.50,49444
130,Dell,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",8,"1TB ",HDD,"AMD "," Radeon R7 M445","Windows 10",2.36,34045
131,Dell,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"AMD "," Radeon R5 M430","Windows 10",2.20,23923
132,Acer,Ultrabook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.60,47100
133,Acer,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i3 7130U 2.7GHz",4,"256GB ",SSD,"Nvidia "," GeForce MX130","Windows 10",7.20,30476
134,HP,Notebook,15.6,1366x768,"Intel "," Core i7 7500U 2.7GHz",8,"1TB ",HDD,"Intel "," HD Graphics 620","Windows 10",2.05,31861
135,HP,Notebook,14.0,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.63,52641
136,Lenovo,Notebook,15.6,1366x768,"Intel "," Celeron Dual Core N3350 1.1GHz",4,"1TB ",HDD,"Intel "," HD Graphics 500","No OS",1.90,13446
137,Asus,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i5 7300HQ 2.5GHz",8,"128GB ",HDD,"Nvidia "," GeForce GTX 1050","Windows 10",3.00,49977
138,Lenovo,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",4,"1TB ",HDD,"Nvidia "," GeForce 920MX","No OS",2.20,26587
139,HP,Notebook,13.3,"IPS Panel Full HD 1920x1080","Intel "," Core i5 7200U 2.5GHz",4,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.32,37243
140,Acer,Notebook,17.3,"IPS Panel Full HD 1920x1080","Intel "," Core i3 7130U 2.7GHz",4,"1TB ",HDD,"Nvidia "," GeForce MX130","Windows 10",3.00,34898
141,Lenovo,Notebook,14.0,"IPS Panel Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",8,"256GB ",SSD,"AMD "," Radeon RX 550","Windows 10",1.75,59462
142,Lenovo,Gaming,15.6,"IPS Panel Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"256GB ",SSD,"Nvidia "," GeForce GTX 1050M","No OS",2.40,46300
143,Toshiba,Notebook,15.6,1366x768,"Intel "," Core i5 6200U 2.3GHz",4,"500GB ",HDD,"Intel "," HD Graphics 520","Windows 10",2.10,32075
144,HP,Notebook,15.6,1366x768,"AMD "," A6-Series 9220 2.5GHz",4,"256GB ",SSD,"AMD "," Radeon R4 Graphics","Windows 10",1.86,19660
145,Asus,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i7 8550U 1.8GHz",8,"256GB ",SSD,"Intel "," UHD Graphics 620","Windows 10",1.25,58555
146,HP,Ultrabook,12.5,"IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel "," Core M 6Y75 1.2GHz",8,"512GB ",SSD,"Intel "," HD Graphics 515","Windows 10",0.97,107306
147,Asus,Notebook,15.6,"Full HD 1920x1080","Intel "," Celeron Dual Core N3350 1.1GHz",4,"1TB ",HDD,"Intel "," HD Graphics 500","Windows 10",2.00,18328
149,Acer,Notebook,15.6,1366x768,"Intel "," Core i3 6006U 2GHz",4,"1TB ",HDD,"Intel "," HD Graphics 520","Windows 10",2.10,23816
150,Dell,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"512GB ",SSD,"Nvidia "," GeForce GTX 1050","Windows 10",2.56,66561
151,Dell,Gaming,15.6,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",8,"1.0TB ",Hybrid,"Nvidia "," GeForce GTX 1050","Windows 10",2.62,47899
152,Lenovo,Notebook,15.6,1366x768,"Intel "," Core i5 7200U 2.5GHz",4,"128GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.90,26533
153,MSI,Gaming,17.3,"Full HD 1920x1080","Intel "," Core i7 7700HQ 2.8GHz",16,"256GB ",HDD,"Nvidia "," GeForce GTX 1060","Windows 10",2.80,100699
154,HP,Ultrabook,14.0,"Full HD 1920x1080","Intel "," Core i5 7500U 2.7GHz",4,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.48,57649
155,HP,Notebook,15.6,"Full HD 1920x1080","Intel "," Core i5 8250U 1.6GHz",6,"256GB ",SSD,"AMD "," Radeon 520","Windows 10",1.91,32980
156,Lenovo,"2 in 1 Convertible",14.0,"IPS Panel Full HD / Touchscreen 1920x1080","Intel "," Core i3 7100U 2.4GHz",4,"256GB ",SSD,"Intel "," HD Graphics 620","Windows 10",1.74,33513
